项目名称,项目概况,总投资,环保投资,环保投资占比
北京按摩医院扩建项目,拟建院区位于朝阳区广渠路， 主要开展推拿、按摩、针灸等医疗活动。 主要建设南楼、北楼及连接南北两栋楼的门诊大厅，使用功能为门诊医技用房、病房、门诊急诊大厅、医院办公及附属设备用 。 工程总投资约3.83亿元，其中环保投资521万元 。,3.83亿元,521万元,
苏州港太仓港区四期工程,项目位于苏州市下辖太仓市浮桥镇。新建 4 个 5 万吨级集装箱专用码头。泊位总长度 1292m ，年设计总运量为 200 万标准箱。本工程不进行危险品箱装运和堆存作业。 工程总投资为 33 . 79 亿元，其中环保投资为 2669.37 万元。,33.79亿元,2669.37万元,
长江中游宜昌至昌门溪河段航道整治二期工程,项目位于葛洲坝下游约40公里，本次航道整治目标是稳定宜都河段滩槽形态，遏制关键洲滩汊道的进一步冲刷、维持河段自身关键节点的水位控制作用。工程建设标准为航道等级Ⅰ级，航道尺度3.5米×150米×1000米，水深保证率98%。工程整治内容包括中沙咀边滩守护工程、南阳碛护滩工程等。 工程总投资估算2.74亿元，其中环保投资2006.3万元。,2.74亿元,2006.3万元,98%
中仪征 - 长岭原油管道复线工程仪征至九江段 ( 工程变更 ),本工程线路全长 560 公里，包括 1 条干线和 2 条支线。 2012 年 7 月，环境保护部以环审〔 2012 〕 210 号文批复环境影响报告书。 工程在南京市 3 处路由发生变化，变动段总长 6.5 公里。城市生态公益林段向南摆动，穿越长度 3700 米，新增 2# 阀室；马汊河洪水调蓄区穿越位置向西摆动 400 米；滁河重要湿地段向西摆动，穿越长度 500 米，穿越方式由定向钻改为定向钻 + 大开挖；穿越复兴圩重要湿地，穿越长度 2170 米，采用三次定向钻穿越方式。,,,
湖南省蓝山县毛俊水库工程,工程坝址位于湖南省永州市蓝山县湘江流域舂陵水支流俊水干流下游。开发任务以灌溉为主、结合供水、兼顾发电等综合利用。工程包括枢纽和灌区工程。水库正常蓄水位342.5米，死水位307米，总库容1.165亿立方米，具有年调节性能。灌区工程主要包括渠首电站、总干渠、左、右干渠、支渠和输水建筑物。水库电站装机1.1万千瓦，渠首电站装机0.5万千瓦。 工程 总投资279666万元，其中环保投资10359.33万元。,279666万元,10359.33万元,
北京华信医院改扩建工程（二期综合楼）,本次改扩建工程主要在医院内拆除现有旧病房楼A区、B区、营养食堂楼、办公楼及洗衣房、车库、等后勤保障用房，新建内科病房楼、医技教学楼、医疗后勤楼、连廊和液氧站，建筑面积74336平方米。二期工程共设420张床位，代替现有420张床位，本工程建成后医院维持病床数760张。 工程总投资4.81亿元，环境保护投资约1128万元。,4.81亿元,1128万元,
中内蒙古伊泰煤炭股份有限公司塔拉壕矿井变更,2009 年，我部以环审〔 2009 〕 404 号批复该项目环境影响报告书。根据《鄂尔多斯市城市总体规划（ 2010-2030 ）》，工程内容调整：首采区由一盘区调整为一盘区和二盘区，首采工作面由 1 个增加到 2 个；工业场地、风井场地和临时排矸场位置进行了调整；增加了炸药库场地；锅炉由 3 台 8 吨 / 小时调整为 4 台 10 吨 / 小时，并对烟气处理措施进行优化；矿井水和生活污水处理站规模增大并调整工艺等。工程变更后，井田面积为 42.62 平方公里，开采面积为 29.16 平方公里，设计可采储量 5.5 亿吨，生产能力为 600 万吨 / 年，服务年限为 70.7 年。本工程采用斜 - 立井综合开拓方式、综采采煤工艺，配套建设同等规模的选煤厂，采用重介浅槽洗选工艺。 工程总投资 25.37 亿元，其中环保投资 3607.02 万元，占总投资的 1.42% 。,25.37亿元,3607.02万元,1.42%
宁波-舟山港 外钓30万吨级油品公共码头项目,工程建设1座30万吨级原油码头，设计吞吐量为1300万吨/年，其中原油1000万吨/年、燃料油300万吨/年，配套建设辅助建筑物、自动控制和通信等设施。码头总长440米，呈蝶形布置，包括主副靠船墩4座、系缆墩6座、工作平台1座。码头与后方陆地通过长206.49米、宽10米引桥连接。油轮原油经码头装卸臂、码头及引桥上两条输油管道输至罐区，码头及管道总接卸流量15000立方米/小时。码头工作平台、系缆墩、靠船墩均采用高桩墩式结构，引桥采用高板梁结构，桩基占海面积354平方米。 工程总投资3.6477亿元，其中环保投资6393.64万元，占总投资的17.53%。,3.6477亿元,6393.64万元,17.53%
安徽省 定远县江巷水库工程,工程 开发任务以供水和灌溉为主，兼顾防洪等综合利用。工程利用驷马山引江灌溉工程多年平均引江入库水量2.25亿立方米，向城镇生活和工业、农业灌溉供水2.41亿立方米。水库正常蓄水位43.0米，死水位41.0米，汛期限制水位42.4米，总库容1.30亿立方米，防洪库容0.30亿立方米，具有不完全年调节能力。工程主要建设内容包括拦河坝、溢洪道、灌溉 引水 建筑物等组成。 工程总投资33.73亿元，其中环保投资18500万元，约占5.5 % 。,33.73亿元,18500万元,5.5%
湟水北干渠扶贫灌溉二期工程,建设任务为农林灌溉，灌溉面积40万亩。工程由一分干渠、三分干渠、18条支渠、7条干斗、松多水库及田间工程组成。渠道总长314公里，改扩建14.63公里，其中隧洞65座，倒虹吸22座，渡槽94座，其他各类建筑物898座；松多水库总库容789.5万立方米，正常蓄水位2763米，对应库容778.6万立方米，调节库容544.7万立方米，主要建筑物由拦河坝、溢洪道、放水洞、引水隧洞、导流洞等组成。拦河坝为壤土心墙堆石坝，最大坝高69.7米，具有年调节性能。工程 生产安置人口 1306 人，搬迁 安置 人口 186 人 。 工程总投资 33.8 亿元，其中环保投资 3.9 亿元，约占总投资的 11 . 5% 。,33.8亿元,3.9亿元,11.5%
青海省引大济湟西干渠工程,建设任务为农林灌溉、工业供水，灌溉面积30.1万亩。干渠全长123.3公里，其中，暗涵长15.1公里，隧洞64座长74.5公里，渡槽52座长12.61公里，倒虹吸8座长16.1公里。工程 生产安置人口 2479 人，搬迁 安置 人口 1048 人 。 工程总投资46.6亿元，其中环保投资40000万元，约占总投资的8 . 6%。,46.6亿元,40000万元,8.6%
云南省昆明市柴石滩水库灌区工程,开发任务为对柴石滩水库灌区进行配套建设，有效发挥水库的灌溉、供水作用，并为保护高原湖泊阳宗海生态环境创造条件。工程设计灌溉面积37.8万亩，其中替代宜良县阳宗海灌溉面积5.6万亩。柴石滩水库设计多年平均供水量1.8亿立方米，其中农业灌溉供水1.4亿立方米、工业供水0.3亿立方米。工程建设内容主要包括农业灌溉取水口、干支渠骨干工程和田间配套工程。其中，灌区新建取水口2座，1座为取水塔，设置叠梁门；1座缆车式取水泵站。干支渠骨干工程新建、改建干支渠（管）总长约211.2公里，渡槽、隧洞等各类渠系建筑物共1223 座。 工程总投资约30.7亿元，其中环保投资32656万元，约占10.6%。,30.7亿元,32656万元,10.6%
国家地震烈度速报与预警工程,主要建设内容包括新建和改造5060个地震观测台站（其中新建2872个，改造2188个），建设通信网络、数据处理、紧急地震信息服务和技术支撑与保障四大系统（升级改造国家地震烈度速报与预警中心和31个分中心）。 工程总投资约18.96亿元，其中环保投资 800.0 万元，约占0.42%。,18.96亿元,800.0万元,0.42%
滇中引水工程,该工程开发任务以城镇生活与工业供水为主，兼顾农业和生态用水。 工程从丽江石鼓镇上游右岸无坝引水， 2040年引江水量34.03亿立方米。输水线路总661.06公里。受水区包括云南省丽江市、大理州、楚雄州、昆明市、玉溪市和红河州共6州（市） 35 个县（区）。工程主要建设内容包括 水源工程 、 输水工程 及 昆明市 3个 调蓄工程为主体工程。 水源工程包括新建引水渠、进水隧洞、进水箱涵和地下泵站；输水工程包括新建隧洞 63座 607.40公里、渡槽 18座 4.72公里，倒虹吸 19座 37.22公里，暗涵 26座 10.86公里，分水口门25座、节制闸27座、退水闸21座、事故闸22座、检修闸37座、 渠道消能电站2座 ；昆明市3个 调蓄工程新建安宁青龙湖调节池、富民黄坡调节池、松华坝提水工程 。 工程总投资 908.76 亿元，其中环保投资39.67亿元，约占4.37%。,908.76亿元,39.67亿元,4.37%
引绰济辽工程,该工程开发任务为向沿线城市和工业园区供水，结合灌溉，兼顾发电等综合利用。 工程从绰尔河调水，多年平均调水量5.3亿立方米。输水线路总389.52公里。受水区包括内蒙古自治区兴安盟和通辽市9个旗、县、区。工程主要建设内容包括 水源工程 文得根水库和 输水工程。 文得根水库由主坝、副坝、溢洪道、引水发电兼灌溉系统、鱼道等组成；输水工程全线采用封闭自流输水方式，主要建筑物由取水口、无压隧洞、压力管道及穿河等组成。 工程总投资237.48亿元，其中环保投资72480.05万元，约占3.05%。,237.48亿元,72480.05万元,3.05%
广西左江治旱工程驮英水库及灌区工程,驮英水库位于广西壮族自治区崇左市宁明县，工程的任务以灌溉、供水为主，兼顾发电等综合利用。工程由水库和灌区工程组成，水库正常蓄水位 226.5 米，对应库容 1.652 亿立方米，死水位 195 米，调节库容 1.512 亿立方米，具有年调节性能。主要建筑物由拦河坝、溢洪道、泄洪隧洞、河道发电引水系统、灌溉发电引水系统等组成。拦河坝为沥青混凝土心墙堆石坝，最大坝高 72.4 米，河道电站装机容量 13 兆瓦（ 2 × 6000 千瓦 +1 × 1000 千瓦）。灌溉发电引水系统布置在大坝左岸，引水隧洞长 1234 米，设计引水流量 25.4 立方米 / 秒，渠道电站装机容量 7.6 兆瓦（ 2 × 3800 千瓦）。 灌区工程由干、支渠组成，渠道总长 749.07 公里。工程总投资 67.08 亿元，其中环保投资 1.99 万元，约占总投资的 2.97% 。,67.08亿元,1.99万元,2.97%
福建省罗源霍口水库工程,工程位于福建省福州市罗源县。开发任务为以城镇供水为主，兼顾防洪、发电等综合利用。水库总库容2.97亿立方米，正常蓄水位190.0米，相应库容2.71亿立方米，死水位150米，调节库容2.25亿立方米，为年调节水库。工程枢纽建筑物主要由挡水建筑物、泄水建筑物、引水发电系统、过鱼设施等组成。挡水建筑物主坝采用碾压混凝土重力坝，最大坝高91米。电站总装机6万千瓦。 工程总投资21.89亿元，其中环保投资1.66亿元。,21.89亿元,1.66亿元,
福建省平潭及闽江口水资源配置（一闸三线）工程,工程共涉及福州市下辖2市3区（县）以及平潭综合试验区，开发任务为向平潭综合实验区和闽江口南岸重要城市、工业园区供水。总引水流量32立方米/秒，引水量8.7亿立方米。工程主要建筑物包括：莒口拦河闸工程，最大坝高26.7米；引、输水线路全长约178.1公里，其中隧洞124.6公里、管道53.4公里。 工程总投资65.35亿元，其中环保投资1.1亿元。,65.35亿元,1.1亿元,
卫河干流（淇门～徐万仓）治理工程,工程治理范围为卫河干流淇门至徐万仓段，治理河道长度为 183 公里；共产主义渠淇门至老观嘴段，治理段长度为 44.2 公里。建设任务为通过河道清淤疏挖、加固堤防、整治险工险段和加固穿堤建筑物等，使相应河段达到防洪与排涝标准。主要建设内容包括：河道清淤总长 62.84 公里，加高堤防 96.11 公里，培厚堤防 23.65 公里，加固堤防 15.33 公里，新筑堤防 0.78 公里；修筑马头村围村埝 2.73 公里；治理险工 17.8 公里；新建水闸（堰） 10 座，治理穿堤涵闸（洞） 453 座，修建桥梁 7 座，新建维修道路 258.3 公里；布设泥结石上堤坡道 18.5 公里。 工程总投资约 11.18 亿元，其中环保投资 1668.73 万元，约占总投资的 1.49% 。,11.18亿元,1668.73万元,1.49%
中电投与道达尔合资年产80万吨煤制聚烯烃项目,项目利用当地煤炭资源，采用粉煤加压气化、甲醇合成、甲醇制烯烃、烯烃聚合等技术，生产80万吨/年聚乙烯、聚丙烯等产品。建设内容主要包括：（1）主体工程：包括空分装置、煤气化装置、甲醇合成装置、甲醇制烯烃装置、聚乙烯装置、聚丙烯装置、硫回收装置等14套生产装置。（2）公辅工程：热电站（整体煤气化联合循环工艺）、给水系统、储运系统（煤库、产品罐区、料仓）等。（3）环保工程：废水处理系统、回用水系统、废气处理设施、火炬等。 项目 总投资238.57亿元，环保投资9.6亿元，占总投资的4.02%。,238.57亿元,9.6亿元,4.02%
内蒙古伊泰煤制油有限责任公司200万吨/年煤炭间接液化示范项目,项目拟利用当地煤炭资源生产煤制油200万吨/年，建设内容包括：（1） 主体工程：空分装置、气化装置、净化装置、油品合成装置、油品加工和尾气处置等生产装置。 （2）公辅工程：供热锅炉（ 设余热发电装置），循环水、除盐水及给水系统， 储运系统。（3）环保工程：污水处理装置、回用水处理装置、浓盐水处理系统、蒸发结晶装置、火炬系统、事故水池等。（4）依托工程：柳林滩供水工程、园区渣场、危废处置中心。 项目总投资293.42亿元，环保投资为296364万元，占总投资的 1 0 . 1 % 。,293.42亿元,296364万元,10.1%
内蒙古扎鲁特～山东青州±800千伏特高压直流输电工程,（一）新建±800千伏扎鲁特送端换流站，站址位于内蒙古自治区通辽市。本期建设换流变压器28台（4台备用），站用变2台，高压电抗器3组，低压电抗器4组，调相机2台，容性无功补偿6665兆乏，±800千伏直流出线1回，接地极出线1回，500千伏交流出线12回。接地极位于内蒙古自治区通辽市，接地极线路电压等级为35千伏，线路全长约46公里。 （二）新建±800千伏青州受端换流站，站址位于山东省潍坊市。本期建设换流变压器28台（4台备用），站用变2台，低压电抗器3组，1000千伏容性无功补偿3270兆乏，500千伏容性无功补偿3270兆乏，±800千伏直流出线1回，接地极出线1回，1000千伏交流出线2回，500千伏交流出线6回。接地极位于山东省淄博市，接地极线路电压等级为35千伏，线路全长约143公里。 （三）新建内蒙古扎鲁特至山东青州±800千伏直流输电线路。线路全长约1234公里，途经内蒙古、河北、天津、山东等4省（区、市）。,,,
藏中和昌都电网联网工程,（一）新建500千伏芒康变电站，站址位于西藏自治区昌都市。本期建设主变压器2组，高压电抗器1组，低压电抗器4组，无功补偿装置2组，500千伏出线6回，110千伏出线3回。 （二）新建500千伏波密变电站，站址位于西藏自治区林芝市。本期建设500千伏主变压器2组，220千伏主变压器1组，高压电抗器4组，低压电抗器6组，无功补偿装置3组，500千伏出线4回，110千伏出线2回。 （三）新建500千伏左贡开关站，站址位于西藏自治区昌都市。本期建设高压电抗器3组，500千伏出线4回。 （四）扩建500千伏昌都变电站，站址位于西藏自治区昌都市。本期建设主变压器2组，低压电抗器4组，500千伏出线2回。 （五）扩建500千伏巴塘变电站，站址位于四川省甘孜藏族自治州。本期建设主变压器2组，低压电抗器2组， 500千伏出线4回。 （六）扩建500千伏乡城变电站，站址位于四川省甘孜藏族自治州。本期建设低压电抗器2组，500千伏出线2回。 （七） 扩建110千伏嘎托变电站，站址位于西藏自治区昌都市。本期建设110千伏出线1回。 （八）新建500千伏芒康至左贡至波密至林芝双回输电线路，线路路径全长约674公里，途经西藏自治区昌都市、林芝市。 （九） 新建500千伏巴塘至昌都输电线路π接入芒康变电站，线路路径全长约24公里，位于西藏自治区昌都市。 （十）新建500千伏乡城至巴塘升压改造双回输电线路，线路路径全长约2公里，位于四川省甘孜藏族自治州。 （十一）新建110千伏芒康至嘎托输电线路，线路路径全长约8.4公里，位于西藏自治区昌都市。 （十二）新建110千伏嘎托至邦达输电线路π接入芒康变电站，线路路径全长约2.5公里，位于西藏自治区昌都市。,,,
引江济淮工程,该工程开发任务以城乡供水、发展江淮航运为主，结合农业灌溉补水，兼顾改善巢湖及淮河水生态环境等综合利用。工程从长江下游干流太子矶和铜陵河段双线引水，到 2030 年和 2040 年，多年平均引江水量分别达 33.03 亿和 43 亿立方米。输水线路分为引江济巢、江淮沟通和江水北送三段，总长 1049 公里 ，其中引江济巢段和江淮沟通段分别按Ⅲ级、Ⅱ级航道标准发展航运。受水区包括安徽、河南两省 15 个市 55 个县（区）。工程主要建设内容包括：新、改建枢纽 8 个，新建梯级泵站 14 座，疏浚扩挖河道 200 公里 ，新开明渠 115 公里 ，布设压力管道 100 公里 ；新、改建跨河桥梁 124 座，新建 3 个跨河倒虹吸及 1 个总干渡槽；加固圩堤 206.15 公里 ，开挖排灌沟渠 9.01 公里 等；建设 1 个水上服务区和 5 个锚地；在长河、派河、东淝河、济河、利辛县、凤台县、黄陂湖实施 7 项截污导流工程；其他建筑物工程 713 座（处）等。 工程总投资 872.93 亿元，其中环保投资 400300 万元，约占 4.59% 。,872.93亿元,400300万元,4.59%
新建神瓦铁路神木北（红柳林）至冯家川段,工程线路起自神延线红柳林站，止于在建的兴保铁路冯家川站，途经陕西省榆林市神木县、府谷县，山西省忻州市保德县。工程为国铁Ⅰ级电气化铁路，设计速度目标值为 120 公里 / 小时，单线、无缝线路、自动闭塞、牵引质量 10000 吨，到发线有效长度 1700 米 。工程运输货种为煤炭，线路全长 84.84 公里 ，其中正线 79.84 公里 ，红柠联络线 2.16 公里 ，田家寨环形装车线 2.84 公里 。全线设 7 座车站和 2 处线路所，红柳林站和田家寨站设有煤炭储装运系统。新建田家寨 1 座牵引变电所，增容改造红柳林、冯家川 2 座牵引变电所。工程总投资 87.70 亿元，其中环保措施投资为 2.86 亿元，占总投资的 3.26% 。,87.70亿元,2.86亿元,3.26%
中国石油云南 1000 万吨 / 年炼油项目优化调整（中国石油 - 沙特阿美合资云南 1300 万吨 / 年炼油项目）,项目调整后，主要变更如下： （ 1 ）原油加工规模由 1000 万吨 / 年增至 1300 万吨 / 年。（ 2 ）总体加工工艺路线在原“常减压蒸馏—蜡油加氢裂化—渣油加氢脱硫—重油催化裂化”全加氢工艺的基础上增加了延迟焦化。（ 3 ）项目主体工程仍为 15 套装置，其中渣油加氢脱硫和催化裂化 2 套装置规模不变，新增 1 × 120 万吨 / 年延迟焦化装置、取消 1 × 15 万吨 / 年聚丙烯装置（改由云天化建设），其余常减压、航煤加氢、异构化、硫磺回收等 12 套装置规模增加。（ 4 ） 储罐区储罐由 118 座增至 153 座，总罐容由 179.37 万立方米增至 229.96 万立方米。 （ 5 ）平面布置进行了调整，车用油品质量由欧 IV 升至国 V 。 项目调整后，总投资由 265.7 亿元增至 274.6 亿元，环保投资由 14.38 亿元增至 20.18 亿元，占总投资的比例由 5.4% 增至 7.3% 。,274.6亿元,20.18亿元,7.3%
淮南～南京～上海1000千伏交流输变电工程补充环境影响报告书,新建北岸引接站、南岸引接站，新建过江隧道管廊约5.7公里，管廊内敷设1000千伏气体绝缘金属封闭输电线路。,,,
云南省曲靖市阿岗水库工程,工程位于云南省曲靖市罗平县九龙河干流，开发任务为以城乡生活供水、工业供水、农业灌溉为主，兼顾改善九龙瀑布景观用水条件、发电等综合利用。工程主要包括阿岗水库、白腊山干渠改扩建工程和笔墨小河周边煤矿中水截流治理外排工程。由挡水建筑物、泄水建筑物、引水发电系统等组成。水库正常蓄水位1866.0米，相应库容1.07亿立方米，死水位1838.2米，总库容1.29亿立方米，为不完全年调节性能。挡水建筑物采用粘土心墙堆石坝，最大坝高61米，坝后式电站总装机1.05万千瓦。 工程总投资24.9亿元，其中环保投资 9504. 9万元。,24.9亿元,9504.9万元,
新建太原至焦作城际铁路,工程起于既有太原南站，向南途经山西省太原市、晋中市、长治市、晋城市和河南省焦作市，止于既有焦作站。建设内容包括新建正线长362.095公里，其中山西省境内328.178公里、河南省境内33.917公里；太原南站至新鸣李站完全利用既有线，在新鸣李站出站端改建石太线长4.582公里。按客运专线，双线建设，设计行车速度250公里/小时。全线设13座车站，其中新建10座，改建2座，利用既有1座（太原南站）。改建既有太原南动车运用所（新建1座4线检查库）；新建7座牵引变电所。正线采用有砟轨道，长度超过1公里隧道及隧道群地段采用双块式无砟轨道。,,,
东太湖综合整治后续工程,工程位于太湖南部东山半岛东侧的狭长型湖湾，工程任务为完善流域防洪体系，提高流域防洪能力；加强河湖水系联通，促进河湖水体有序流动。主要建设内容包括：环湖大堤达标加固工程、行洪通道贯通工程、入湖河道综合整治工程等三项。 工程总投资 约14.57亿元 ， 其中 环保投资6064.4万元。,14.57亿元,6064.4万元,
荆江 分洪区近期项目建设,工程位于长江中游右岸 湖北省 荆州市 公安县境内， 主要建设任务是 进一步建设 分洪区工程 ，保证分洪区启用时人员的安全转移。 工程主要建设内容包括 分 、 吐洪口门 工程、 安全建设工程 和 其它设施 。 工程总投资为 5 2633万 元 ， 其中环保投资 1505 万元 。,52633万元,1505万元,
内蒙古北控京泰能源发展有限公司 40 亿立方米 / 年煤制天然气项目,项目利用当地煤炭资源，采用碎煤加压气化和粉煤加压气化技术，生产 40 亿标准立方米 / 年合成天然气。建设内容主要包括：（ 1 ）主体工程：固定床碎煤加压气化生产线 1 条，包括碎煤气化、酚氨回收、变换、低温甲醇洗、甲烷化等装置；气流床粉煤加压气化生产线 3 条，包括粉煤气化、变换、低温甲醇洗、甲烷化等装置；空分、备煤、硫回收装置等。（ 2 ）公辅工程：锅炉房、储运系统、煤料场和煤库、脱盐水站等。（ 3 ）环保工程：污水处理、回用水处理、浓盐水处理、蒸发结晶装置，火炬系统、危废暂存场等。 项目 总投资 283.66 亿元，环保投资 33.81 亿元，占总投资的 11.92% 。,283.66亿元,33.81亿元,11.92%
福建福清核电厂 3 、 4 号机组环境影响报告书（运行阶段）,厂址位于福建省福清市三山镇。 厂址北北西距省会福州市 71km ，北距长乐市 58km ，距福清市 32km ，西距莆田市 43km （均为直线距离）。 福建福 清核电厂 3 、 4 号机组为扩建机组，采用 M310 加改进型核电机组。 福建福清核电厂 3 、 4 号机组环保总投资约为 45871 万元，环保投资占项目总投资的比例约为 1.9% 。电站投入商业运行时，将按照《国家核电发展专题规划（ 2005-2020 ）》规定，设立核电站退役专项基金账户，并从电厂投运后第一年开始逐年提取，以备日后福清核电厂机组的退役所用。,45871万元,,1.9%
中国石化管道储运有限公司日照至仪征原油管道增输改造工程,现有日照—仪征原油管道及配套工程管道全长 378.9 公里 ，设计压力 8.5 兆帕，实际输送压力 6.0 兆帕，设计输量 2000 万吨 / 年，全线设五座场站。拟建工程在现有工程基础上进行增输改造，在场站预留区域内新增输油设备和配套设施，改造后管道采用常温密闭输送，设计输送油品为汉戈、凯撒杰或马西拉等低凝低粘进口原油，输送规模由 2000 万吨 / 年增至 4000 万吨 / 年，输送压力 8.5 兆帕。拟建工程总投资 6.1327 亿元，其中环保投资 1505 万元，占总投资的 2.45% 。,6.1327亿元,1505万元,2.45%
中俄东线天然气管道工程（黑河 - 长岭）,工程为中俄东线天然气管道工程的组成部分，包括 1 条干线和 1 条支线，气源为俄罗斯进口天然气。干线起自黑龙江黑河首站，止于吉林长岭分输站，全长 737 公里 ，管径 1422 毫米 ，设计压力 12 兆帕，设计输量 380 亿立方米 / 年；长春支线起自长岭分输站，止于沈阳 - 哈尔滨天然气管道工程长春分输站，全长 115 公里 ，管径 1016 毫米 ，设计输量 110 亿立方米 / 年。工程总投资 192.75 亿元，其中环保投资 1.69 亿元，占总投资的 0.88% 。,192.75亿元,1.69亿元,0.88%
苏新能源和丰有限公司 40 亿标准立方米 / 年煤制天然气项目,项目拟利用当地煤炭资源，采用 碎煤加压气化、 粉煤加压气化、甲烷化等技术，生产 40 亿标准立方米 / 年合成天然气 ，建设内容包括： （ 1 ）主体工程：固定床碎煤加压气化生产线 3 条，主要包括碎煤气化、净化、甲烷化、煤气水分离、酚氨回收等装置；粉煤气化生产线 1 条，主要包括碎煤气化、净化、甲烷化等装置；硫回收、空分、备煤等装置。（ 2 ）公辅工程：主要包括自备热电站（ 8 台 480 吨 / 小时煤粉锅炉等）、储运系统（油品罐区、圆形料场、灰库等）、脱盐水站、循环水场等。（ 3 ）环保工程：污水处理装置、回用水处理装置、蒸发结晶装置、火炬、危废暂存间等。 拟建工程总投资 289.02 亿元，环保投资 47.60 亿元，占总投资的 16.41% 。,289.02亿元,47.60亿元,16.41%
中国海洋石油总公司山西大同低变质烟煤清洁利用示范项目,项目拟利用当地煤炭资源，采用碎煤加压气化、粉煤加压气化、甲烷化等技术，生产 40 亿标准立方米 / 年煤制天然气，包括厂内工程和厂外净水厂、输煤栈桥、灰渣场及输渣道路工程。厂内工程包括：（ 1 ）主体工程：煤气化、净化、甲烷化、硫回收、空分、焦油加氢等装置。（ 2 ）储运工程：圆形煤库、石灰石仓、渣仓、储罐、结晶盐暂存罐、汽车装车站等。（ 3 ）公用工程：循环水系统、除盐水站等。（ 4 ）环保工程：污水处理站、回用水处理装置、污水缓冲池、事故池、危险废物临时贮存厂、火炬、油气回收系统等。 项目总投资 2585331 万元，其中环保投资 196116 万元，占总投资的 7.59% 。,2585331万元,196116万元,7.59%
山西潞安矿业（集团）有限责任公司高硫煤清洁利用油化电热一体化示范项目,项目拟利用当地煤炭资源，采用粉煤加压气化、费托合成等技术，生产 180 万吨 / 年油品及化学品，项目分二期建设，建设内容包括：（ 1 ）主体工程：煤气化、净化、硫回收、 PSA 尾气制氢、铁基油品合成、铁基油品加工（ 100 万吨 / 年，一期工程）、钴基油品加工（ 80 万吨 / 年，二期工程，原料外购）等装置。（ 2 ）储运工程：液体物料储运系统、固体物料储运系统。（ 3 ）公辅工程：自备热电站、给排水系统、封闭煤仓、电信系统等。（ 4 ）环保工程：污水处理装置、废气处理措施、厂外渣场、浓盐水处理系统、蒸发结晶装置、火炬系统、危废暂存场、事故水池等。 项目 总投资 239.1 亿元，环保投资 24.99 亿元，占总投资的 10.45% 。,239.1亿元,24.99亿元,10.45%
黄盖湖防洪治理工程,黄盖湖防洪治理工程 位于长江中游南岸，是湖南省岳阳市和湖北省洪湖市的界湖，流域面积 1538 平方公里。 该工程主要建设内容包括防洪治理工程总长度为 159.71km 。堤防加固工程包括东港湖垸堤坡稳定处理 0.9 公里，堤身隐患锥探灌浆处理 101.296 公里，堤基渗控处理 6.41 公里，填塘固基沿堤线 49.357 公里，防浪林沿堤线长度 14.88 公里，修建堤顶防汛道路 143.57 公里。 工程总投资为 16.38 亿元，其中环保投资 5305.71 万元。,16.38亿元,5305.71万元,
四川省李家岩水库工程,李家岩水库位于四川省成都崇州市，开发任务以城乡供水为主，并为城市供水提供应急备用水源，兼顾灌溉、发电等综合利用。水库正常蓄水位 763 米，正常运行死水位 727 米，最低运行死水位 695 米，总库容 1.714 亿立方米，应急备用库容 0.42 亿立方米，具有年调节性能。枢纽由挡水建筑物、泄洪建筑物和引水发电建筑物等组成。挡水建筑物为砼面板堆石坝，最大坝高 123 米。采用坝后式电站，总装机容量 12 兆瓦。 工程静态总投资约 47.56 亿元，其中环保投资 11714.89 万元。,47.56亿元,11714.89万元,
黄河上游玛尔挡水电站工程,玛尔挡水电站坝址位于青海省果洛州玛沁县拉加镇上游约 5 公里的黄河干流上，坝址右岸为海南州同德县及黄南州河南县，左岸为果洛州玛沁县。工程开发任务以发电为主，采用堤坝式开发，电站总装机容量 220 万千瓦（ 4 台 ×52 万千瓦 +1 台 ×12 万千瓦）。水库正常蓄水位 3275 米，死水位 3240 米，正常蓄水位库容 14.82 亿立方米，调节库容 7.06 亿立方米，具有季调节性能。工程枢纽主要由挡水建筑物、泄水建筑物、引水发电系统等组成。挡水建筑物为混凝土面板堆石坝，最大坝高 211 米；泄水建筑物包括 3 孔溢洪道、泄洪放空洞和永久生态放水洞；引水发电系统布置于右岸，采用单机单洞方式布置。 工程静态总投资 175.85 亿元，其中环境保护投资 141600 万元，约占工程静态总投资的 8.14% 。,175.85亿元,141600万元,8.14%
三门核电厂3、4号机组（选址阶段）,本工程为扩建厂址，拟建两台AP1000核电机组以及相应的配套设施，总投资为450亿元人民币，其中环保投资约占整个项目的 10% 。,450亿元,,10%
迁建四川达州民用机场项目,既有四川达州河市民用机场由于与城市发展存在矛盾等问题拟进行迁建。新建机场拟选场址位于四川省达州市达川区，距达州市约19公里，为国内支线机场，飞行区等级4C，设计目标年2025年旅客吞吐量85万人次，货邮吞吐量8000吨，飞机起降9000架次。建设内容为新建1条长2600米的跑道、8个站坪机位（7C1B），航站楼9000平方米，停车场8000平方米。油库区新建2座500立方米的航煤储油罐及1座500立方米的事故池，新建1座汽车加油站。供水依托场外水厂，场内新建1座300立方米的生活蓄水池和1座500立方米的消防水池等。新建1座处理能力为120立方米/日的污水处理站及1200立方米的回用水池，新建1座50平方米的垃圾转运站，不设锅炉房。工程总投资17.22亿元，其中环保投资约1.5亿元，占工程总投资8.7%。,17.22亿元,1.5亿元,8.7%
